State Postal,County Name,FIPS,Obama vote,%,Romney vote,%
AK,Alaska,0,91696,41.6,121234,55
AL,Alabama,0,793620,38.4,1252453,60.7
AR,Arkansas,0,391953,36.9,643717,60.6
AZ,Arizona,0,900081,44.1,1107130,54.2
CA,California,0,6241648,59.2,4046524,38.4
DC,District of Columbia,0,222332,91.4,17337,7.1
DE,Delaware,0,242547,58.6,165476,40
HI,Hawaii,0,303090,70.6,119494,27.8
IA,Iowa,0,816429,52.1,727928,46.5
ID,Idaho,0,212560,32.6,420750,64.5
IL,Illinois,0,2916811,57.3,2090116,41.1
KS,Kansas,0,427918,37.8,678719,60
KY,Kentucky,0,679340,37.8,1087127,60.5
LA,Louisiana,0,808496,40.6,1152460,57.8
MA,Massachusetts,0,1901276,60.7,1178245,37.6
MD,Maryland,0,1527686,61.7,904970,36.6
ME,Maine,0,397754,56,290437,40.9
MI,Michigan,0,2561911,54.3,2112673,44.8
MN,Minnesota,0,1547668,52.8,1321575,45.1
MO,Missouri,0,1215031,44.3,1478961,53.9
MS,Mississippi,0,528260,43.5,674302,55.5
MT,Montana,0,200489,41.8,264974,55.3
NC,North Carolina,0,2178388,48.4,2275853,50.6
ND,North Dakota,0,124490,38.9,187586,58.7
NE,Nebraska,0,289154,37.8,462972,60.5
NH,New Hampshire,0,368529,52.2,327870,46.4
NJ,New Jersey,0,1960744,58,1383233,40.9
NM,New Mexico,0,408312,52.9,331915,43
NV,Nevada,0,528801,52.3,462422,45.7
NY,New York,0,3875826,62.6,2226637,36
OH,Ohio,0,2697260,50.1,2593779,48.2
OK,Oklahoma,0,442647,33.2,889372,66.8
OK,Oklahoma,0,106812,8,149525,11.2
OR,Oregon,0,932459,54.4,732288,42.7
PA,Pennsylvania,0,2907448,52,2619583,46.8
RI,Rhode Island,0,274342,62.7,155355,35.5
SD,South Dakota,0,144988,39.9,210541,57.9
TN,Tennessee,0,953043,39,1453097,59.5
TX,Texas,0,3294440,41.4,4555799,57.2
VA,Virginia,0,1905528,50.8,1789618,47.8
WA,Washington,0,1588309,55.9,1183614,41.7
WI,Wisconsin,0,1613950,52.8,1408746,46.1
WV,West Virginia,0,234925,35.5,412406,62.3
VT,Vermont,0,199259,67,92700,31.2
